파일명,카테고리,OCR방법,상태,처리시간(초),글자수,한글비율,공백비율,특수문자비율
shinhan_deposit3_2026,deposit,pymupdf,성공,0.09,8587,55.5,28.8,7.7
shinhan_deposit3_2026,deposit,opencv,성공,46.4,8447,53.0,27.8,8.2
woori_deposit1_2025,deposit,pymupdf,성공,0.04,5506,59.8,27.3,7.3
woori_deposit1_2025,deposit,opencv,성공,24.31,6156,52.5,31.9,7.0
shinhan_deposit2_2025,deposit,pymupdf,성공,0.08,7339,54.4,30.6,7.2
shinhan_deposit2_2025,deposit,opencv,성공,28.27,7085,51.9,29.1,7.6
hyundai_card1_2026,card,pymupdf,성공,0.03,13906,57.8,27.5,7.7
hyundai_card1_2026,card,opencv,성공,43.84,13290,52.5,26.4,6.3
shinhan_card3_2026,card,pymupdf,성공,0.09,2398,59.6,22.0,6.0
shinhan_card3_2026,card,opencv,성공,11.07,3055,43.4,37.6,5.8
shinhan_card2_2026,card,pymupdf,성공,0.09,2813,61.4,22.4,8.1
shinhan_card2_2026,card,opencv,성공,11.49,3542,43.9,41.9,6.9
hyundai__insurance_car_2025_terms,insurance,pymupdf,성공,1.2,275432,61.9,24.8,6.9
hyundai__insurance_car_2025_terms,insurance,opencv,성공,49.85,15631,37.6,46.1,5.2
db_insurance_car_2025_summary,insurance,pymupdf,성공,0.04,10478,58.1,30.1,6.1
db_insurance_car_2025_summary,insurance,opencv,성공,40.56,9996,58.0,27.4,6.7
samsung_insurance_cancer_2024_terms,insurance,pymupdf,성공,1.24,294083,61.7,26.2,6.0
samsung_insurance_cancer_2024_terms,insurance,opencv,성공,72.18,14893,47.3,36.4,5.8
